id,logMstar_Chab,SFR_Chab,id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qpah,qpah_err,gamma,gamma_err
NGC2403,9.26,0.46,NGC2403,0.7239,0.05347999999999999,3124000000.0,560000000.0,10410000000.0,520500000.0,7564000000.0,378200000.0,2845000000.0,210200000.0,1436000000.0,1810000000.0,1.021,0.12300000000000001,0.213,0.04,10970000.0,1645000.0,3198000000.0,271500000.0,1.865,0.361,20.303,0.655,2.572,0.5660000000000001,0.006999999999999999,0.003
NGC3351,10.22,0.65,NGC3351,1.026,0.2454,28260000000.0,5889000000.0,28120000000.0,1406000000.0,24090000000.0,1204000000.0,4031000000.0,964600000.0,3754000000.0,3962000000.0,1.61,0.207,0.34,0.07,22330000.0,1995000.0,7749000000.0,555400000.0,1.921,0.375,20.403,0.664,2.633,0.6559999999999999,0.018000000000000002,0.005
NGC4579,10.88,0.56,NGC4579,0.8832,0.4743,130100000000.0,15680000000.0,106400000000.0,5318000000.0,102900000000.0,5145000000.0,3471000000.0,1864000000.0,15620000000.0,4134000000.0,1.466,0.278,0.32299999999999995,0.043,63860000.0,8077000.0,19380000000.0,1717000000.0,1.87,0.384,20.313,0.695,5.612,1.032,0.006,0.005
NGC4725,10.64,0.59,NGC4725,0.9408,0.119,74690000000.0,12170000000.0,51900000000.0,2595000000.0,48200000000.0,2410000000.0,3697000000.0,467800000.0,4385000000.0,1880000000.0,0.755,0.158,0.174,0.02,65970000.0,9407000.0,6275000000.0,516000000.0,0.545,0.131,16.537,0.664,0.882,0.43700000000000006,0.013000000000000001,0.004
NGC4736,10.18,0.34,NGC4736,0.538,0.1913,25470000000.0,4082000000.0,24120000000.0,1206000000.0,22010000000.0,1100000000.0,2115000000.0,752000000.0,3472000000.0,1985000000.0,1.445,0.20600000000000002,0.309,0.057999999999999996,5864000.0,533900.0,5368000000.0,268400000.0,5.917000000000001,0.5710000000000001,24.611,0.396,4.552,0.7929999999999999,0.004,0.002
NGC5713,9.58,1.26,NGC5713,1.994,0.1416,6468000000.0,1783000000.0,22890000000.0,1144000000.0,15050000000.0,1081000000.0,7835000000.0,556700000.0,7586000000.0,6933000000.0,3.074,0.154,0.664,0.098,14980000.0,1570000.0,13520000000.0,1140000000.0,4.888999999999999,1.242,23.840999999999998,1.01,2.239,0.509,0.023,0.006999999999999999
