id,logMstar_Chab,SFR_Chab,id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qhac,qhac_err,gamma,gamma_err
NGC2403,9.24,0.46,NGC2403,0.7322,0.053610000000000005,2968000000.0,501300000.0,10320000000.0,516100000.0,7443000000.0,372200000.0,2878000000.0,210700000.0,1326000000.0,1882000000.0,1.036,0.122,0.209,0.039,4415000.0,410700.0,3208000000.0,194400000.0,3.549,0.498,22.78,0.552,0.06,0.005,0.001,0.001
NGC3351,10.21,0.68,NGC3351,1.081,0.2382,27440000000.0,6006000000.0,27980000000.0,1399000000.0,23730000000.0,1187000000.0,4248000000.0,936400000.0,4543000000.0,3438000000.0,1.723,0.251,0.33299999999999996,0.067,8188000.0,737900.0,7981000000.0,959600000.0,4.205,1.129,23.45,1.087,0.054000000000000006,0.017,0.013000000000000001,0.004
NGC4579,10.88,0.57,NGC4579,0.9038,0.4662,128400000000.0,15510000000.0,105500000000.0,5275000000.0,101900000000.0,5097000000.0,3552000000.0,1832000000.0,16320000000.0,2925000000.0,1.495,0.281,0.32,0.04,25600000.0,3277000.0,19240000000.0,1612000000.0,3.3819999999999997,0.638,22.59,0.735,0.136,0.027999999999999997,0.003,0.003
NGC4725,10.64,0.58,NGC4725,0.9274,0.1059,74320000000.0,12230000000.0,51810000000.0,2590000000.0,48160000000.0,2408000000.0,3645000000.0,416100000.0,4247000000.0,1927000000.0,0.732,0.136,0.172,0.019,24570000.0,2991000.0,6174000000.0,438400000.0,1.215,0.24100000000000002,18.93,0.649,0.02,0.003,0.005,0.003
NGC4736,10.16,0.35,NGC4736,0.5477,0.1891,24820000000.0,4000000000.0,23900000000.0,1195000000.0,21750000000.0,1087000000.0,2153000000.0,743100000.0,3552000000.0,1714000000.0,1.466,0.19699999999999998,0.297,0.057999999999999996,2474000.0,176400.0,5266000000.0,263300000.0,9.907,0.67,27.19,0.318,0.10300000000000001,0.015,0.002,0.001
NGC5713,9.63,1.25,NGC5713,1.992,0.1659,7281000000.0,2156000000.0,22550000000.0,1127000000.0,14720000000.0,762300000.0,7828000000.0,651800000.0,6134000000.0,6957000000.0,3.03,0.152,0.633,0.09300000000000001,5583000.0,330300.0,13090000000.0,654500000.0,9.842,0.785,27.16,0.374,0.028999999999999998,0.017,0.017,0.003
